Entry Name,Entry Type,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Web Link,Web Link
1999 Acura TL Code on glovebox lock,Item,S0FDOT4526,,,,,,,,1.0,units,,,0.0,"1999 Acura TL
Code on glovebox lock
HD103 test key
HD106 chip key

Code was located on the side of the glove box lock, above another code (No specific reason why we chose that one over the other one in this case)
In this case our code was 6712 (Picture below)

Programmed via CK-100:
OBD for this vehicle is in a different location than usual, in the center console behind a removable cover (https://youtu.be/si6FJKw_fsM)
Erase all keys
Program new keys",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Xc478it3GF5qleuKPBzl2ntSGLZdizwsOCNxRh-aO4jHvwQFshgbbg==,https://lnk.sortly.co/v2/downloads/photo/v2_nTD8eDvXXQWmfDl3-XyUQ1OsDacZgZOWVN_LKYVURPs12wudhZDzeA==,,,,,,,,
1999 Acura TL HD106 Chip,Item,S0FDOT5904,,,,,,,,1.0,units,,,0.0,"1999 Acura TL
HD103 test, HD106 chip
Code on glove box",,Data base,Acura Honda,,,,,,,,,,,,,
1999 Honda Accord - AKL Keyed,Item,S0FDOT7734,,,,,,,,1.0,units,,,0.0,"1999 Honda Accord - AKL Keyed
HD103 test key, HD106 chip key.
Code from trunk, trunk release, glovebox lock.
Code series 5001-8442.
In our case, code was on glovebox lock cylinder.
Remove ring in order to get the core of the cylinder out.
See images",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_FJkSzxykSflqHLGCr2IwkGzj7IG9eH_yPuZlIMjXkGDETfpOuKbkKQ==,https://lnk.sortly.co/v2/downloads/photo/v2_FDgQ9uY9QFeS-puwey3Yh8IeWcdjGh0sJUaZf4uq91B3xdGAqJh2Sg==,https://lnk.sortly.co/v2/downloads/photo/v2_ifMeevvUkvVwdAoHnX02OPcw-oe_y2IVPQrzRKajuUqnaEPDoOb3Gw==,https://lnk.sortly.co/v2/downloads/photo/v2_6Y7OmhEKrYe3E8QXRTqVnjefHjyFCBrXLikDSujSQb957odclYR1jw==,,,,,,
1999 Honda CRV CR-V,Item,S0FDOT4455,,,,,,,,1.0,units,,,0.0,"1999 Honda CRV CR-V 
HD103 metal key 
Code on glove box lock 
Code range 5001-8442",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ZJ7KbEli56VEC5NsSREamVkG0f4oQWR_R-QPa7qRlVu-Txq7oFpJBA==,,,,,,,,,
1999 Honda Prelude (Reflash) AKL.,Item,S0FDOT4570,,,,,,,,1.0,units,,,0.0,"1999 Honda Prelude ( reflush ) - AKL. 
HD103 shell + super chip 
Code for cuts on glove box lock
VVDI2 + VVDI PROG
In circuits 8 leg EEPROM using 
eeprom clip. 

Use super chip (or T5) + shell.
HD106 didn’t work. 

Target module: Immo box “Honda Lock MFG”
Target device: 93C46

Locate 8 leg L46AR. 

VVDI Prog
EEPROM
Microchip(clip)
93C46B
Read & save 

VVDI2
Transponder programmer 
Immo data tool 
Asia-Honda-Civic
1995 - 93C46
Load eeprom 

Select any key except 1 as it’s usually the spot for the red key. 

Slot #3 didn’t work 
The ID was 4605735A

So I tried a new super chip this time wrote on slot #2 where 
the ID was 4629C3CB
And then it worked. 

Possibly has to do with the EEPROM being read as a 93C46B? Not sure. Slot #2 seems to be a winner so far. 

Super chip in VVDI2
Make dealer key
Success..key can start engine
Connect Immo box & test it.",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_f5wieBQ0JugmT-gLRAibRBV3mFVglO1B1KA2gSIArYtof4RqscdHsA==,https://lnk.sortly.co/v2/downloads/photo/v2_upP-ABPDy_Jg9X1UkU9brbGkcZxV8IHzYSuRdub1nVtrZiJVBLfNzw==,https://lnk.sortly.co/v2/downloads/photo/v2_IIPbmgSdEMp_WsIY6q30J_QJaeb9NnrIdg4mmLS9HpwiY8AjjQpMWg==,https://lnk.sortly.co/v2/downloads/photo/v2_I_SyEWX0XzMi6rq8V9KzwIk_BmLO6HzuCbvUKfcvjJKK3PVy6stdwQ==,https://lnk.sortly.co/v2/downloads/photo/v2_LRZPoBlEddUs-SYb8QKBqxTZ0rutN3KxxQMEwfaROeZ8_dw-W3UonA==,https://lnk.sortly.co/v2/downloads/photo/v2_oTT9g5iYm9qH75bEo9w6nSiIGgYr-Ep2tbWaxifpx8qWmsKGZUNurg==,https://lnk.sortly.co/v2/downloads/photo/v2_lg3Z9nWxhPh8-FJ0xKZQOOfkMay2lV46wmuw_SEDSiaoNieI5Qtaww==,https://lnk.sortly.co/v2/downloads/photo/v2_-fvSieWituEoE3_eFni9_AGfKfU_NEOZXzKbjhU5aEI4J5tM4rSs5w==,,
1999 Honda VT110T AKL SKGI,Item,S0FDOT7373,,,,,,,,1.0,units,,,0.0,"1999 Honda VT110T AKL SKGI 
2 optional key-ways HD74 = X84 or HD75 = X138 
In our case it was HD75 

Cuts on IGN, GAS CAP, and SEAT/AUX are in positions 1-5
Decoded Storage compartment/saddle bag

Multiple options on cutting machine 
14 HD75 ILCO 
20 HD75 ILCO 

Tech choose ""20"" option",,Data base,Acura Honda,,,,,,,,,,,,,
2000 Acura RL - Theoretical data base.,Item,S0FDOT4494,,,,,,,,1.0,units,,,0.0,"2000 Acura RL - Theoretical data base. Please update upon job completion. Reflush. 

Immo box is sitting under steering wheel, remove bottom clamshell  to reveal and 1 torx to free it up. 

Basically there are 2 ways from here: 

Option A VVDI
1. VVDI Prog read 8 leg under immobilizer-Honda and save 
2. Open file in VVDI2 
3. Write dealer key on an HD106
4. Done. 

Option B Pro Pad
1. Reflush the 8 leg 
2. Use Red and Black keys for syncing in new keys to a reflashed module. 
*note: red and black keys are designated to work with a specific reflasher like penloader, EZ flasher etc. 
we need to check if the ones Matt has are compatible with Auto Pro Pad. (They are specifically not compatible with Penloader for example).",,Data base,Acura Honda,,,,,,,,,,,,,
2000 Acura RL REFLASH Same programming as:,Item,S0FDOT4495,,,,,,,,1.0,units,,,0.0,"2000 Acura RL - 
Same programming as:

• 1997 1998 1999 2000 2001 2002 Honda Prelude
• 1996 1997 1998 1999 2000 2001 2002 2003 2004 Acura RL
• 1997 1998 1999 2000 2001 2002 2003 2004 2005 Acura NSX

VVDI2 + VVDI PROG
In circuits 8 leg EEPROM using 
eeprom clip. 

Use super chip (or T5) + shell.
HD106 didn’t work. 

Target module: Immo box “Honda Lock MFG”
Target device: 93C46

Pull room leg canopy and see the device directly underneath the column. See image. 2-3 easy plugs and it’s out. 

Locate 8 leg L46AR. 

VVDI Prog
EEPROM
Microchip(clip)
93C46B
Read & save 

VVDI2
Transponder programmer 
Immo data tool 
Asia-Honda-Civic-93C46
Load eeprom 

Select any key except 1 as it’s usually the spot for the red key. 

I selected #2

Super chip in VVDI2
Make dealer key
Key ready to start the car 
Connect Immo box & test it.",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Fi96eYL6opztuyG288S6nnCTKAncOirfLDyWtNDM6iNl8aiUGJEfBQ==,https://lnk.sortly.co/v2/downloads/photo/v2_DFHSnMm9ia15FrJ4MBm2TTfSAV1EplHl-Td1PB3uqKgRnP7FexavMg==,https://lnk.sortly.co/v2/downloads/photo/v2_p1QMBp9NzqtcFUFnOdb4qMHYdqhewmEueq-aSVy1qPZAcEKygkqFVg==,https://lnk.sortly.co/v2/downloads/photo/v2_PCL1G4P3TcpQp5zGenoZTsyK-mHcjs0_nwNZ7P8Aun4gaAzWKrUOFA==,https://lnk.sortly.co/v2/downloads/photo/v2_XKhBXkcJrmnmYkr-ULzY9Y5Gdnx4eEU-_Se-g_gTxmViHfbHjiH09Q==,,,,,
2000 Honda Accord,Item,S0FDOT4470,,,,,,,,1.0,units,,,0.0,"2000 Honda Accord 
Code on the glove box lock 
4 numbers 
HD103 test 
HD106 chip 
program with CK 
chose erase all key",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_zDyvlB0gC3n3yM6pGpb6gOD7DqHLV6aRHpgW42da5gSsmw0OG7BWpw==,,,,,,,,,
2000 Honda Accord,Item,S0FDOT4906,,,,,,,,1.0,units,,,0.0,"2000 Honda Accord
Keyless Fob Programming
We used TILC135 (Ilco fob)

Our notes mentioned we needed Advanced Diagnostics device to program
Im100 and Pro Pad were unable to program

We managed to do on-board procedure and at first it wasn't working properly
After a few tries it worked perfectly",,Data base,Acura Honda,,,,,,,,,,,,,
2000 Honda CRV - AKL (doors) Keyed,Item,S0FDOT7885,,,,,,,,1.0,units,,,0.0,"2000 Honda CRV - AKL (doors) Keyed
Door key make 
Ignition was replaced, and cx had a key for it, we made door key only 
HD103 metal key
Code on glove box lock code series 5001-8442",,Data base,Acura Honda,,,,,,,,,,,,,
2000 Honda Civic - AKL Keyed,Item,S0FDOT6935,,,,,,,,1.0,units,,,0.0,"2000 Honda Civic - AKL
HD103 metal - HD106 chip if needed.
Code from lock - good to have code by VIN as backup.
App shows chip key, but this time car started with metal key only",,Data base,Acura Honda,,,,,,,,,,,,,
2001 ACURA Integra AKL,Item,S0FDOT8422,,,,,,,,1.0,units,,,0.0,"2001 ACURA Integra - AKL
HD103 test, HD106 chip

Code was not on the outside of trunk release lock, might have been able to get it by removing black c-clip. 
We first checked trunk lock and found it there easily (4 digit code, picture below)",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_yoyMC0ABZfpL1FDyWqfHcGyW6Pfu6cCT0AYU9UIX69OYKa3-isomyw==,,,,,,,,,
2001 ACURA TL HD106 Chip,Item,S0FDOT6040,,,,,,,,1.0,units,,,0.0,"2001 ACURA TL 
Hd103 test HD106 chip 
Code range 5001-8442
Key code on the glove box
Programming with CK",,Data base,Acura Honda,,,,,,,,,,,,,
2001 Acura MDX,Item,S0FDOT4390,,,,,,,,1.0,units,,,0.0,"2001 Acura MDX 
HD103 
HD106 
Programmed with CK
key code wasn't on the glove box lock in 2 different cases already
Used code by vin
We didn't try the trunk because it was a new tech - worth to try next chance",,Data base,Acura Honda,,,,,,,,,,,,,
2001 Acura TL,Item,S0FDOT4135,,,,,,,,1.0,units,,,0.0,"2001 Acura TL
key code is on the glove box lock
pretty easy to remove and see it (4 numbers)",,Data base,Acura Honda,,,,,,,,,,,,,
2001 Honda Civic - AKL Keyed,Item,S0FDOT10272,,,,,,,,1.0,units,,,0.0,"2000 Honda Civic - AKL
HD103 metal - HD106 chip
Code from lock - good to have code by VIN as backup.",,Data base,Acura Honda,,,,,,,,,,,,,
2001 Honda Odyssey,Item,S0FDOT5486,,,,,,,,1.0,units,,,0.0,"2001 Honda Odyssey
Test key HD103 Chip key HD106

We took out the Glove box lock
It had two sets of 4 digits, the first one was the code
6001

Used IM100 to program the key
Ck a,lso worked",,Data base,Acura Honda,,,,,,,,,,,,,
2002 Acura MDX Keyed,Item,S0FDOT8432,,,,,,,,1.0,units,,,0.0,"2002 Acura MDX 
HD103 HD106 
Programmed with CK (erase all keys)
key code wasn't on the glove box lock in 2 different cases already, in this case it was clear and worked (picture below)

BEWARE! Most likely need to use code by vin",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_D-pdhNCd2YJFGLjq7FVCrhwd3CSQGVxpGb_9Ky72GVH9d6OrFX9FPg==,,,,,,,,,
2002 Acura RL AKL,Item,S0FDOT10119,,,,,,,,1.0,units,,,0.0,"2002 Acura RL - AKL
HD103 shell + super chip
VVDI Prog + clip 
93C46 in circuit (8 leg)

Immo box under driver kick panel, it’s black.

VVDI Prog 
EEPROM
Microchip clip 
93C46B

VVDI2
Immo data tool 
Asia - Honda - Civic",,Data base,Acura Honda,,,,,,,,,,,,,
2002 Acura TL AKL,Item,S0FDOT9254,,,,,,,,1.0,units,,,0.0,"2002 Acura TL AKL
Hd103 Hd106 program with CK

To get cuts looks like only glovebox lock is an option.
In this case was locked and tech could not pull it.
Discount and Magic did not have code on file.
Hon58R tricky lishi worked, tech was Max.",,Data base,Acura Honda,,,,,,,,,,,,,
"2002 Honda Accord Hd103, Hd106 chip",Item,S0FDOT4886,,,,,,,,1.0,units,,,0.0,"2002 Honda Accord 
Hd103, Hd106 chip 
Code on trunk release and glove box locks was not clear enough. The one from trunk lock was good.(pic below) 
Programming with CK failed several times with jumper cables connected.
Tried again selecting Honda (not HONDA USA) and it worked.
There is a chance it gave us ECU not found many times because the car gear was not in PARKING position.

Security light was still blinking in this case but car started every time we tried and with metal key it did not even crank.",,Data base,Acura Honda,,,,https://lnk.sortly.co/v2/downloads/photo/v2_yOFBa4H-XopCtA0VIlk5201kpE029mbYysp6JQ-F_gstYuMm_nzrfg==,,,,,,,,,
